,Crm Cd Desc,Crm Cd
1352,STALKING,763
1422,THEFT PLAIN - ATTEMPT,441
1462,"RAPE, ATTEMPTED",122
1466,SHOPLIFTING - ATTEMPT,443
1511,THEFT FROM PERSON - ATTEMPT,450
1600,FALSE IMPRISONMENT,434
1627,"BURGLARY FROM VEHICLE, ATTEMPTED",410
1695,FAILURE TO YIELD,890
1734,VEHICLE - ATTEMPT STOLEN,520
1894,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",670
1912,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",951
1988,COUNTERFEIT,660
2374,"CREDIT CARDS, FRAUD USE ($950 & UNDER",654
2462,PICKPOCKET,352
3023,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",250
3205,CRIMINAL HOMICIDE,110
3252,PROWLER,933
3347,DOCUMENT WORTHLESS ($200 & UNDER),652
3479,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",950
3702,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,231
3771,DISHONEST EMPLOYEE - GRAND THEFT,345
3864,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,822
4220,CHILD PORNOGRAPHY,814
4399,PEEPING TOM,932
4779,BATTERY ON A FIREFIGHTER,622
4820,TILL TAP - PETTY ($950 & UNDER),471
5380,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,235
5681,TILL TAP - GRAND THEFT ($950.01 & OVER),470
6479,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,921
7069,FIREARMS RESTRAINING ORDER (FIREARMS RO),906
8028,DRIVING WITHOUT OWNER CONSENT (DWOC),433
8483,DOCUMENT WORTHLESS ($200.01 & OVER),651
11395,CRUELTY TO ANIMALS,943
12894,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",653
13323,LYNCHING - ATTEMPTED,436
13772,FALSE POLICE REPORT,439
15756,PANDERING,806
17401,ILLEGAL DUMPING,949
18260,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",522
18529,PETTY THEFT - AUTO REPAIR,446
18618,"MANSLAUGHTER, NEGLIGENT",113
19544,RECKLESS DRIVING,438
20090,PURSE SNATCHING - ATTEMPT,451
28143,CONSPIRACY,944
28953,CONTRIBUTING,954
32110,WEAPONS POSSESSION/BOMBING,756
41691,BRIBERY,942
46384,BOAT - STOLEN,487
53701,GRAND THEFT / INSURANCE FRAUD,347
58730,LYNCHING,435
68073,DISRUPT SCHOOL,880
90013,DISHONEST EMPLOYEE - PETTY THEFT,444
109436,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",931
113153,"DRUGS, TO A MINOR",865
153789,DRUNK ROLL,353
162291,CHILD ABANDONMENT,870
199868,TELEPHONE PROPERTY - DAMAGE,924
209055,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",840
221451,BIGAMY,948
241263,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),904
328307,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),830
471276,BLOCKING DOOR INDUCTION CENTER,432
